#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
Russia_East_Arkhangelsk;East Arkhangel'sk;Est d'Arkhangelsk;Ost-Archangelsk;Wschodnie Archangielsk;Este de Arcángel;Est di Arcangelo;Östra Archangelsk;Východní Archangelsk;Keleti Arhangelszk;Oost-Archangelsk;Leste de Arcangel;Восточный Архангельск;Itä-Arhangel'sk;阿尔汉格尔斯克东部
Russia_South_Krasnoyarsk;South Krasnoyarsk;Krasnoïarsk méridional;Süd-Krasnojarsk;Południowy Krasnojarsk;Krasnoyarsk Sur;Krasnojarsk Meridionale;Södra Krasnojarsk;Jižní Krasnojarsk;Déli Krasznojarszk;Zuid-Krasnojarsk;Krasnoyarsk Sul;Южный Красноярск;Etelä-Krasnojarsk;克拉斯诺亚尔斯克南部
Russia_East_Magadan;East Magadan;Magadan oriental;Ost-Magadan;Wschodnie Magadan;Magadán Oriental;Magadan Orientale;Östra Magadan;Východní Magadan;Keleti Magadan;Oost-Magadan;Magadan Oriental;Восточный Магадан;Itä-Magadan;马加丹东部
Russia_West_Magadan;West Magadan;Magadan occidental;West-Magadan;Zachodnie Magadan;Magadán Occidental;Magadan Occidentale;Västra Magadan;Západní Magadan;Nyugati Magadan;West-Magadan;Magadan Ocidental;Западный Магадан;Länsi-Magadan;马加丹西部
Kazakhstan_Uralsk;Ural'sk;Oural'sk;Uralsk;Uraľsk;Úralsk;Uralsk;Uralsk;Uralsk;Uralszk;Uralsk;Uralsk;Уральск;Uralsk;乌拉尔斯克
Russia_East_Novosibirsk;East Novosibirsk;Novossibirsk oriental;Ost-Novosibirsk;Wschodnie Nowosybirsk;Novosibirsk Oriental;Novosibirsk Orientale;Östra Novosibirsk;Východní Novosibirsk;Keleti Novoszibirszk;Oost-Novosibirsk;Novosibirsk Oriental;Восточный Новосибирск;Itä-Novosibirsk;新西伯利亚东部
Kazakhstan_Atyrau;Atyrau;Atyraou;Atyrau;Atyrau;Atyraú;Atyrau;Atyrau;Atyrau;Atyrau;Atyrau;Atyrau;Атырау;Atyrau;阿特劳
Kazakhstan_Mangghystau;Mangghystau;Mangystau;Mangystau;Mangystau;Mangystau;Mangystau;Mangystau;Mangystau;Mangystau;Mangystau;Mangystau;Мангистау;Mangystau;曼格斯套
Kazakhstan_Aktyubinsk;Aktyubinsk;Aktioubinsk;Aktjubinsk;Aktiubinsk;Aktiubinsk;Aktjubinsk;Aktjubinsk;Aktjubinsk;Aktjubinszk;Aktjoebinsk;Aktiubinsk;Актюбинск;Aktjubinsk;阿克纠宾斯克
Kazakhstan_Kustanay;Kustanay;Kostanaï;Kostanai;Kostanaj;Kostanay;Kostanaj;Kostanaj;Kostanaj;Kosztanaj;Kostanaj;Kostanay;Костанай;Kostanai;科斯塔奈
Kazakhstan_Kzyl-Orda;Kzyl-Orda;Kyzylorda;Kysylorda;Kyzylorda;Kyzylorda;Kyzylorda;Kyzylorda;Kyzylorda;Kizilorda;Kyzylorda;Kyzylorda;Кызылорда;Kyzylorda;克孜勒奥尔达
Kazakhstan_South_Kazakhstan;South Kazakhstan;Kazakhstan méridional;Süd-Kasachstan;Południowy Kazachstan;Kazajstán Sur;Kazakistan Meridionale;Södra Kazakstan;Jižní Kazachstán;Déli-Kazahsztán;Zuid-Kazachstan;Cazaquistão do Sul;Южный Казахстан;Etelä-Kazakstan;哈萨克斯坦南部
Kazakhstan_Dzhambul;Dzhambul;Djamboul;Dsambul;Dżambuł;Yambul;Džambul;Dzjambul;Džambul;Dzsambul;Dzjambul;Djambul;Джамбул;Džambul;江布尔
Kazakhstan_Pavlodar;Pavlodar;Pavlodar;Pawlodar;Pawłodar;Pavlodar;Pavlodar;Pavlodar;Pavlodar;Pavlodar;Pavlodar;Pavlodar;Павлодар;Pavlodar;巴甫洛达尔
Kazakhstan_Vostochno-Kazakhstan;Vostochno-Kazakhstan;Kazakhstan oriental;Ostkasachstan;Wschodni Kazachstan;Kazajstán Oriental;Kazakistan Orientale;Östra Kazakstan;Východní Kazachstán;Keleti-Kazahsztán;Oost-Kazachstan;Cazaquistão Oriental;Восточно-Казахстанская область;Itä-Kazakstan;东哈萨克斯坦
Kazakhstan_Semipalatinsk;Semipalatinsk;Semipalatinsk;Semipalatinsk;Semiłatajsk;Semipalatinsk;Semipalatinsk;Semipalatinsk;Semipalatinsk;Szemipalatyinszk;Semipalatinsk;Semipalatinsk;Семипалатинск;Semipalatinsk;塞米巴拉金斯克
Kazakhstan_Dzhezkazgan;Dzhezkazgan;Djezkazgan;Dscheskasgan;Dżezkazgan;Yezkazgán;Džezkazgan;Dzjeskazgan;Džezkazgan;Dzsjezkazgán;Dzjeskazgan;Djezkazgan;Жезказган;Džezkazgan;杰兹卡兹甘
Kazakhstan_Karaganda;Karaganda;Karaganda;Karaganda;Karaganda;Karagandá;Karaganda;Karaganda;Karaganda;Karaganda;Karaganda;Karaganda;Караганда;Karaganda;卡拉干达
Kazakhstan_Taldy-Kurgan;Taldy-Kurgan;Taldy-Kourgan;Taldy-Kurgan;Tałdykurgan;Taldy-Kurgán;Taldy-Kurgan;Taldy-Kurgan;Taldy-Kurgan;Taldykurgan;Taldy-Kurgan;Taldy-Kurgan;Талды-Курган;Taldy-Kurgan;塔尔迪库尔干
Kazakhstan_Alma-Ata;Alma-Ata;Alma-Ata;Alma-Ata;Ałma-Ata;Alma-Atá;Alma-Ata;Alma-Ata;Alma-Ata;Alma-Ata;Alma-Ata;Alma-Ata;Алма-Ата;Alma-Ata;阿拉木图
Kazakhstan_Severo-Kazakhstan;Severo-Kazakhstan;Kazakhstan septentrional;Nordkasachstan;Północny Kazachstan;Kazajstán Septentrional;Kazakistan Settentrionale;Norra Kazakstan;Severní Kazachstán;Északi-Kazahsztán;Noord-Kazachstan;Cazaquistão Setentrional;Северо-Казахстанская область;Pohjois-Kazakstan;北哈萨克斯坦
Kazakhstan_Tselinograd;Tselinograd;Tselinograd;Zelinograd;Celinnograd;Tselinograd;Tselinograd;Tselinograd;Celinnograd;Cselinograd;Tselinograd;Tselinograd;Целиноград;Tselinograd;齐林诺格勒
Kazakhstan_Kokchetar;Kokchetar;Koktchétar;Koktschetar;Kokczetaw;Kokchetar;Kokčetav;Koktjetar;Kokčetav;Kokcssetav;Koktjetar;Kokchetar;Кокчетав;Koktšetav;科克切塔夫
Russia_West_Novosibirsk;West Novosibirsk;Novossibirsk occidental;West-Novosibirsk;Zachodnie Nowosybirsk;Novosibirsk Occidental;Novosibirsk Occidentale;Västra Novosibirsk;Západní Novosibirsk;Nyugati Novoszibirszk;West-Novosibirsk;Novosibirsk Ocidental;Западный Новосибирск;Länsi-Novosibirsk;新西伯利亚西部
Turkmenistan_Ahal;Ahal;Ahal;Achal;Ahal;Ajal;Ahal;Ahal;Achal;Ahal;Ahal;Ahal;Ахал;Ahal;阿哈尔
Russia_Belaya_Gora;Belaya Gora;Belaïa Gora;Belaya Gora;Biała Góra;Belaya Gora;Belaya Gora;Belaya Gora;Bělá Hora;Belaya Gora;Belaya Gora;Belaya Gora;Белая Гора;Belaya Gora;别拉亚戈拉
Russia_Bulun;Bulun;Bouloun;Bulun;Bułun;Bulun;Bulun;Bulun;Bulun;Bulun;Bulun;Bulun;Булун;Bulun;布伦
Turkmenistan_Balkan;Balkan;Balkan;Balkan;Bałkan;Balcan;Balkan;Balkan;Balkán;Balkán;Balkan;Balcã;Балкан;Balkan;巴尔坎
Russia_Chersky;Chersky;Tcherski;Tscherski;Czerskij;Cherski;Čerskij;Tjerskij;Čerskij;Cserkszij;Tjerski;Cherski;Черский;Tšerski;切尔斯基
Russia_Srednekolymsk;Srednekolymsk;Srednekolymsk;Srednekolymsk;Średniekołymsk;Srednekolymsk;Srednekolymsk;Srednekolymsk;Srednekolymsk;Szrednyekolimszk;Srednekolymsk;Srednekolymsk;Среднеколымск;Srednekolymsk;中科雷姆斯克
Russia_Zyryanka;Zyryanka;Zyrianka;Syryanka;Zyrianka;Zyrianka;Zyrianka;Zyrianka;Zyrianka;Zyrianka;Zyrianka;Zyrianka;Зырянка;Zyryanka;济良卡
Russia_Mirnyy;Mirnyy;Mirny;Mirny;Mirnyj;Mirny;Mirnyj;Mirnyj;Mirnyj;Mirnyij;Mirny;Mirny;Мирный;Mirny;米尔内
Russia_NW_-_Sakha;NW - Sakha;Nord-Ouest - Sakha;NW - Sacha;Północny Zachód - Sacha;NO - Sakha;NO - Sacha;Nordväst - Sacha;SZ - Sacha;ÉNY - Szaha;NW - Sacha;NO - Sakha;СЗ - Саха;NW - Sahha;西北 - 萨哈
Turkmenistan_Chardzhou;Chardzhou;Tchardjou;Tschardschou;Czardżou;Chardzhou;Čardžou;Tjardzjou;Čardžou;Csardzsou;Tsjardzjou;Chardzhou;Чарджоу;Tšardžou;查尔朱
Russia_Nyurba;Nyurba;Niourba;Njurba;Niurba;Nyurba;Njurba;Njurba;Njurba;Nyurba;Njurba;Nyurba;Нюрба;Njurba;纽尔巴
Russia_Sakha;Sakha;Sakha;Sacha;Sacha;Sajá;Sacha;Sacha;Sacha;Szaha;Sacha;Sakha;Саха;Sahha;萨哈
Turkmenistan_Mary;Mary;Mary;Mary;Mary;Mary;Mary;Mary;Mary;Mary;Mary;Mary;Мары;Mary;马雷
Russia_Ust-Maya;Ust-Maya;Oust-Maïa;Ust-Maja;Ust-Maja;Ust-Maya;Ust'-Maja;Ust-Maja;Ust-Maja;Uszt-Maja;Ust-Maja;Ust-Maya;Усть-Мая;Ust-Maja;乌斯季马亚
Russia_Ust-Yansky;Ust-Yansky;Oust-Ianski;Ust-Janski;Ust-Jański;Ust-Yanski;Ust'-Janskij;Ust-Janskij;Ust-Janskij;Uszt-Janszkij;Ust-Janski;Ust-Yanski;Усть-Янский;Ust-Jansk;乌斯季扬斯基
Russia_Verkhoyansk;Verkhoyansk;Verkhoïansk;Werkhojansk;Wierchojańsk;Verjoiánsk;Verchojansk;Verchojansk;Verchojansk;Verhhojanszk;Verchojansk;Verkhoyansk;Верхоянск;Verhhojansk;上扬斯克
Turkmenistan_Tashauz;Tashauz;Tachauz;Taschauz;Taszhauz;Tashauz;Tašauz;Tasjauz;Tašauz;Tasavuz;Tasjauz;Tashauz;Ташауз;Tashauz;塔沙乌兹
Russia_Yakutsk;Yakutsk;Iakoutsk;Jakutsk;Jakuck;Yakutsk;Jakutsk;Jakutsk;Jakutsk;Jakutszk;Jakutsk;Yakutsk;Якутск;Jakutsk;雅库茨克
Russia_Neryungri;Neryungri;Nerioungri;Nerjungri;Neryungri;Neryungri;Nerjungri;Nerjungri;Nerjungri;Nerjungri;Nerjoengri;Neryungri;Нерюнгри;Nerjungri;涅留恩格里
Uzbekistan_Karakalpakia;Karakalpakia;Karakalpakie;Karakalpakien;Karakalpakia;Karakalpakia;Karakalpakia;Karakalpakien;Karakalpakie;Karakalpakföld;Karakalpakstan;Caracalpáquia;Каракалпакия;Karakalpakia;卡拉卡尔帕克斯坦
Uzbekistan_Samarkand;Samarkand;Samarcande;Samarkand;Samarkanda;Samarcanda;Samarcanda;Samarkand;Samarkand;Szamarkand;Samarkand;Samarcanda;Самарканд;Samarkand;撒马尔罕
Russia_North_Sverdlovsk;North Sverdlovsk;Sverdlovsk septentrional;Nord-Swerdlowsk;Północny Swierdłowsk;Sverdlovsk Septentrional;Sverdlovsk Settentrionale;Norra Sverdlovsk;Severní Sverdlovsk;Északi Szverdlovszk;Noord-Sverdlovsk;Sverdlovsk Setentrional;Северный Свердловск;Pohjois-Sverdlovsk;斯维尔德洛夫斯克北部
Uzbekistan_Kashkadarin;Kashkadarin;Kachkadaria;Kaschkadarja;Kaszgadarija;Kashkadaria;Kashkadarya;Kashkadarija;Kaškadarija;Kasgadarija;Kashkadarija;Kashkadária;Кашкадарья;Kaškadarija;卡什卡达里亚
Russia_South_Sverdlovsk;South Sverdlovsk;Sverdlovsk méridional;Süd-Swerdlowsk;Południowy Swierdłowsk;Sverdlovsk Sur;Sverdlovsk Meridionale;Södra Sverdlovsk;Jižní Sverdlovsk;Déli Szverdlovszk;Zuid-Sverdlovsk;Sverdlovsk Sul;Южный Свердловск;Etelä-Sverdlovsk;斯维尔德洛夫斯克南部
Uzbekistan_Dzhizak;Dzhizak;Djizak;Dsizak;Dżizak;Yizak;Džizak;Dzjizak;Džizak;Dzsizak;Dzjizak;Djizak;Джизак;Džizak;吉扎克
Uzbekistan_Tashkent;Tashkent;Tachkent;Taschkent;Taszkient;Taskent;Tashkent;Tasjkent;Taškent;Taskent;Tasjkent;Tashkent;Ташкент;Taškent;塔什干
Russia_West_Sverdlovsk;West Sverdlovsk;Sverdlovsk occidental;West-Swerdlowsk;Zachodni Swierdłowsk;Sverdlovsk Occidental;Sverdlovsk Occidentale;Västra Sverdlovsk;Západní Sverdlovsk;Nyugati Szverdlovszk;West-Sverdlovsk;Sverdlovsk Ocidental;Западный Свердловск;Länsi-Sverdlovsk;斯维尔德洛夫斯克西部
Uzbekistan_Bukhara;Bukhara;Boukhara;Buchara;Buchara;Bujará;Buchara;Buchara;Buchara;Buhara;Boechara;Bucará;Бухара;Buhara;布哈拉
Tajikistan_Dushanbe;Dushanbe;Douchanbé;Duschanbe;Duszanbe;Dusambé;Dušanbe;Dušanbe;Dušanbe;Duszanbe;Dusjanbe;Duchambé;Душанбе;Dušanbe;杜尚别
Russia_Dikson;Dikson;Dikson;Dikson;Dikson;Dikson;Dikson;Dikson;Dikson;Dikszon;Dikson;Dikson;Диксон;Dikson;迪克森
Russia_Dudinka;Dudinka;Doudinka;Dudinka;Dudinka;Dudinka;Dudinka;Dudinka;Dudinka;Dudinka;Dudinka;Dudinka;Дудинка;Dudinka;杜金卡
Tajikistan_Gorno-Badakhshan;Gorno-Badakhshan;Gorno-Badakhchan;Gorno-Badachstan;Gorno-Badachsztan;Gorno-Badajshán;Gorno-Badachšan;Gorno-Badachstan;Gorno-Badachšán;Gorno-Badahsán;Gorno-Badachstan;Gorno-Badakhshan;Горно-Бадахшан;Gorno-Badahšan;戈尔诺-巴达赫尚
Russia_Khatangsky_Taymyr;Khatangsky Taymyr;Taimyr de Khatanga;Chatangski Taimyr;Tajmyr Chatangski;Taymyr de Jatanga;Tajmyr di Chatanga;Chatangskij Tajmyr;Chatangský Tajmyr;Hatangai Taimir;Chatangski Taimyr;Taymyr de Khatanga;Хатангский Таймыр;Hatangin Taimyr;哈坦加泰梅尔
Russia_Ust-Yeniseysky_Taymyr;Ust-Yeniseysky Taymyr;Taimyr de l'Ienisseï;Ust-Jenissejski Taimyr;Tajmyr Ust-Jenisejski;Taymyr del Yeniséi;Tajmyr dell'Enisej;Ust-Jenisejskij Tajmyr;Ust-jenisejský Tajmyr;Uszt-Jenyiszejszki Taimir;Ust-Jenisejski Taimyr;Taymyr do Ienissei;Усть-Енисейский Таймыр;Ust-Jenisein Taimyr;乌斯季叶尼塞泰梅尔
Russia_East_Tomsk;East Tomsk;Tomsk oriental;Ost-Tomsk;Wschodnie Tomsk;Tomsk Oriental;Tomsk Orientale;Östra Tomsk;Východní Tomsk;Keleti Tomszk;Oost-Tomsk;Tomsk Oriental;Восточный Томск;Itä-Tomsk;托木斯克东部
Kyrgyzstan_Central_Kyrgyzstan;Central Kyrgyzstan;Kirghizistan central;Zentral-Kirgisistan;Centralny Kirgistan;Kirguistán Central;Kirghizistan Centrale;Centrala Kirgizistan;Střední Kyrgyzstán;Középső Kirgizisztán;Centraal-Kirgizië;Quirguistão Central;Центральный Кыргызстан;Keski-Kirgisia;吉尔吉斯斯坦中部
Kyrgyzstan_Osh;Osh;Och;Osch;Osz;Osh;Oš;Oš;Oš;Oš;Oš;Osh;Ош;Oš;奥什
Kyrgyzstan_Batken;Batken;Batken;Batken;Batken;Batken;Batken;Batken;Batken;Batken;Batken;Batken;Баткен;Batken;巴特肯
Russia_West_Tomsk;West Tomsk;Tomsk occidental;West-Tomsk;Zachodnie Tomsk;Tomsk Occidental;Tomsk Occidentale;Västra Tomsk;Západní Tomsk;Nyugati Tomszk;West-Tomsk;Tomsk Ocidental;Западный Томск;Länsi-Tomsk;托木斯克西部
Russia_North_Tyumen;North Tyumen;Tioumen septentrional;Nord-Tjumen;Północny Tiumeń;Tiúmen Septentrional;Tjumen' Settentrionale;Norra Tjumen;Severní Tjumen;Északi Tyumen;Noord-Tjoemen;Tiúmen Setentrional;Северный Тюмень;Pohjois-Tjumen;秋明北部
Russia_South_Tyumen;South Tyumen;Tioumen méridional;Süd-Tjumen;Południowy Tiumeń;Tiúmen Sur;Tjumen' Meridionale;Södra Tjumen;Jižní Tjumen;Déli Tyumen;Zuid-Tjoemen;Tiúmen Sul;Южный Тюмень;Etelä-Tjumen;秋明南部
Russia_East_Yamal-Nenets;East Yamal-Nenets;Yamalo-Nenets oriental;Ost-Jamalo-Nenezien;Wschodni Jamalsko-Nieniecki;Yamal-Nenets Oriental;Jamalo-Nenets Orientale;Östra Jamalo-Nenetsien;Východní Jamalo-Nencký;Keleti Jama-Nenyecföld;Oost-Jamalo-Nenetsië;Yamal-Nenets Oriental;Восточный Ямало-Ненецкий;Itä-Jamalo-Nenetsia;亚马尔-涅涅茨东部
Russia_South_Yamal-Nenets;South Yamal-Nenets;Yamalo-Nenets méridional;Süd-Jamalo-Nenezien;Południowy Jamalsko-Nieniecki;Yamal-Nenets Sur;Jamalo-Nenets Meridionale;Södra Jamalo-Nenetsien;Jižní Jamalo-Nencký;Déli Jama-Nenyecföld;Zuid-Jamalo-Nenetsië;Yamal-Nenets Sul;Южный Ямало-Ненецкий;Etelä-Jamalo-Nenetsia;亚马尔-涅涅茨南部
Russia_West_Yamal-Nenets;West Yamal-Nenets;Yamalo-Nenets occidental;West-Jamalo-Nenezien;Zachodni Jamalsko-Nieniecki;Yamal-Nenets Occidental;Jamalo-Nenets Occidentale;Västra Jamalo-Nenetsien;Západní Jamalo-Nencký;Nyugati Jama-Nenyecföld;West-Jamalo-Nenetsië;Yamal-Nenets Ocidental;Западный Ямало-Ненецкий;Länsi-Jamalo-Nenetsia;亚马尔-涅涅茨西部
Russia_Aga_Buryat;Aga Buryat;Bouriatie d'Aga;Aga-Burjatien;Aga Buriacja;Aga Buriatia;Aga Buriazia;Aga Burjatien;Aga Burjatsko;Aga Bürjátföld;Aga Boerjatië;Aga Buriácia;Агинская Бурятия;Aga-Burjatia;阿金布里亚特
Russia_Amur;Amur;Amour;Amur;Amur;Amur;Amur;Amur;Amur;Amur;Amoer;Amur;Амурская область;Amur;阿穆尔州
Russia_Evenk;Evenk;Événie;Evenkien;Evenkia;Evenkia;Evenkia;Evenkien;Evenkija;Evenkia;Evenkië;Evenkia;Эвенкия;Evenkia;埃文基
Russia_Gorno-Altay;Gorno-Altay;Gorno-Altaï;Gorno-Altai;Gorno-Ałtaj;Gorno-Altái;Gorno-Altaj;Gorno-Altaj;Gorno-Altaj;Gorno-Altaj;Gorno-Altaj;Gorno-Altaí;Горно-Алтайск;Gorno-Altai;戈尔诺-阿尔泰
Russia_Kamchatka;Kamchatka;Kamtchatka;Kamtschatka;Kamczatka;Kamchatka;Kamčatka;Kamtjatka;Kamčatka;Kamcsatka;Kamtsjatka;Kamchatka;Камчатка;Kamtšatka;堪察加
Russia_Kemerovo;Kemerovo;Kemerovo;Kemerowo;Kemerowo;Kémerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Kemerovo;Кемерово;Kemerovo;克麦罗沃
Russia_Khabarovsk;Khabarovsk;Khabarovsk;Chabarowsk;Chabarowsk;Jábarovsk;Chabarovsk;Chabarovsk;Chabarovsk;Habarovszk;Chabarovsk;Khabarovsk;Хабаровск;Habarovsk;哈巴罗夫斯克
Russia_Khakass;Khakass;Khakassie;Chakassien;Chakasja;Jajasia;Chakassia;Chakassien;Chakasie;Hakaszföld;Chakassië;Khakássia;Хакасия;Hakassia;哈卡斯
Russia_Kurgan;Kurgan;Kourgan;Kurgan;Kurgan;Kurgán;Kurgan;Kurgan;Kurgan;Kurgan;Koergan;Kurgan;Курган;Kurgan;库尔干
Russia_Nenets;Nenets;Nénétsie;Nenezien;Nienieck;Nenetsia;Nenetsia;Nenetsien;Nencká;Nenyecföld;Nenetsië;Nenécia;Ненецкий автономный округ;Nenetsia;涅涅茨
Russia_Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;Omszk;Omsk;Omsk;Омск;Omsk;鄂木斯克
Russia_Primorye;Primor'ye;Primorie;Primorje;Primorje;Primorie;Primor'e;Primorje;Primorje;Primorje;Primorje;Primorie;Приморский край;Primorje;滨海边疆区
Russia_Sakhalin;Sakhalin;Sakhaline;Sachalin;Sachalin;Sajalín;Sachalin;Sachalin;Sachalin;Szahalin;Sachalin;Sacalina;Сахалин;Sahalin;萨哈林
Russia_Tuva;Tuva;Touva;Tuwa;Tuva;Tuva;Tuva;Tuva;Tuva;Tuva;Toeva;Tuva;Тува;Tuva;图瓦
Russia_Ust-Orda_Buryat;Ust-Orda Buryat;Bouriatie d'Oust-Orda;Ust-Orda-Burjatien;Ust-Ordynska Buriacja;Buriatia de Ust-Orda;Buriazia di Ust'-Orda;Ust-Orda Burjatien;Ust-Ordynská Burjatsko;Uszt-Ordai Bürjátföld;Ust-Orda Boerjatië;Buriácia de Ust-Orda;Усть-Ордынская Бурятия;Ust-Orda Burjatia;乌斯季-奥尔达布里亚特
Russia_Yevrey;Yevrey;Oblast autonome juif;Jüdische Autonome Oblast;Żydowski Obwód Autonomiczny;Óblast Autónoma Judía;Oblast' Autonoma Ebraica;Judiska autonoma oblasten;Židovská autonomní oblast;Zsidó Autonóm Tartomány;Joodse Autonome Oblast;Oblast Autónoma Judaica;Еврейская автономная область;Juutalainen itsehallinnollinen alue;犹太自治州
Portugal_Alentejo;Alentejo;Alentejo;Alentejo;Alentejo;Alentejo;Alentejo;Alentejo;Alentejo;Alentejo;Alentejo;Alentejo;Алентежу;Alentejo;阿连特茹
Portugal_Beira;Beira;Beira;Beira;Beira;Beira;Beira;Beira;Beira;Beira;Beira;Beira;Бейра;Beira;贝拉
Portugal_Azores;Azores;Açores;Azoren;Azory;Azores;Azzorre;Azorerna;Azory;Azorok;Azoren;Açores;Азорские острова;Azorit;亚速尔群岛
Portugal_Madeira;Madeira;Madère;Madeira;Madera;Madeira;Madeira;Madeira;Madeira;Madeira;Madeira;Madeira;Мадейра;Madeira;马德拉
Cyprus_Cyprus;Cyprus;Chypre;Zypern;Cypr;Chipre;Cipro;Cypern;Kypr;Ciprus;Cyprus;Chipre;Кипр;Kypros;塞浦路斯
Spain_Canary_Islands;Canary Islands;Îles Canaries;Kanarische Inseln;Wyspy Kanaryjskie;Islas Canarias;Isole Canarie;Kanarieöarna;Kanárské ostrovy;Kanári-szigetek;Canarische Eilanden;Ilhas Canárias;Канарские острова;Kanariansaaret;加那利群岛
Spain_Valencia;Valencia;Valence;Valencia;Walencja;Valencia;Valencia;Valencia;Valencie;Valencia;Valencia;Valência;Валенсия;Valencia;巴伦西亚
Spain_Andalucia;Andalucia;Andalousie;Andalusien;Andaluzja;Andalucía;Andalusia;Andalusien;Andalusie;Andalúzia;Andalusië;Andaluzia;Андалусия;Andalusia;安达卢西亚
Spain_Estremadura;Estremadura;Estrémadure;Extremadura;Estremadura;Extremadura;Estremadura;Extremadura;Extremadura;Extremadúra;Extremadura;Estremadura;Эстремадура;Extremadura;埃斯特雷马杜拉
Spain_La_Mancha;La Mancha;La Manche;La Mancha;La Mancha;La Mancha;La Mancha;La Mancha;La Mancha;La Mancha;La Mancha;La Mancha;Ла-Манча;La Mancha;拉曼查
Spain_Castile-Leon;Castile-Leon;Castille-et-León;Kastilien-León;Kastylia i León;Castilla y León;Castiglia e León;Kastilien och León;Kastilie a León;Kasztília és León;Castilië en León;Castela e Leão;Кастилия и Леон;Kastilia ja León;卡斯蒂利亚-莱昂
Spain_Asturias;Asturias;Asturies;Asturien;Asturie;Asturias;Asturie;Asturien;Asturie;Asztúria;Asturië;Astúrias;Астурия;Asturia;阿斯图里亚斯
Spain_Galicia;Galicia;Galice;Galicien;Galicia;Galicia;Galizia;Galicien;Galicie;Galícia;Galicië;Galiza;Галисия;Galicia;加利西亚
Spain_Aragon;Aragon;Aragon;Aragón;Aragón;Aragón;Aragona;Aragonien;Aragón;Aragón;Aragón;Aragão;Арагон;Aragón;阿拉贡
Spain_Cataluna;Catalua;Catalogne;Katalonien;Katalonia;Cataluña;Catalogna;Katalonien;Katalánsko;Katalónia;Catalonië;Catalunha;Каталония;Katalonia;加泰罗尼亚
France_Lorraine;Lorraine;Lorraine;Lothringen;Lotaryngia;Lorena;Lorena;Lorraine;Lotrinsko;Lotaringia;Lotharingen;Lorena;Лотарингия;Lorraine;洛林
France_Alsace;Alsace;Alsace;Elsass;Alzacja;Alsacia;Alsazia;Alsace;Alsasko;Elsassz;Elzas;Alsácia;Эльзас;Elsassi;阿尔萨斯
France_Provence;Provence;Provence;Provence;Prowansja;Provenza;Provenza;Provence;Provence;Provence;Provence;Provença;Прованс;Provence;普罗旺斯
France_Corsica;Corsica;Corse;Korsika;Korsyka;Córcega;Corsica;Korsika;Korsika;Korzika;Corsica;Córsega;Корсика;Korsika;科西嘉
France_Centre;Centre;Centre;Centre;Centrum;Centro;Centro;Centre;Centre;Közép-Franciaország;Centrum;Centro;Центр;Keski-Ranska;中央大区
France_Languedoc;Languedoc;Languedoc;Languedoc;Langwedok;Languedoc;Linguadoca;Languedoc;Languedoc;Languedoc;Languedoc;Languedoc;Лангедок;Languedoc;朗格多克
France_Pyrenees;Pyrenees;Pyrénées;Pyrenäen;Pireneje;Pirineos;Pirenei;Pyrenéerna;Pyreneje;Pireneus;Pyreneeën;Pirenéus;Пиренеи;Pyreneet;比利牛斯
France_Aquitaine;Aquitaine;Aquitaine;Aquitaine;Akwitania;Aquitania;Aquitania;Aquitaine;Aquitánie;Akvitánia;Aquitanië;Aquitânia;Аквитания;Akvitania;阿基坦
France_Normandy;Normandy;Normandie;Normandie;Normandia;Normandía;Normandia;Normandie;Normandie;Normandia;Normandië;Normandia;Нормандия;Normandia;诺曼底
France_Britanny;Bretagne;Bretagne;Bretagne;Bretoń;Bretaña;Bretagna;Bretagne;Bretaň;Brittánia;Bretagne;Bretanha;Бретань;Brittania;布列塔尼
France_Picardy;Picardy;Picardie;Picardie;Picardia;Picardía;Piccardia;Picardie;Picardie;Picardia;Picardië;Picardia;Пикардия;Picardie;皮卡第
France_Champagne;Champagne;Champagne;Champagne;Szampania;Champaña;Champagne;Champagne;Champagne;Champagne;Champagne;Champanha;Шампань;Champagne;香槟
France_Bourgogne;Bourgogne;Bourgogne;Burgund;Burgundia;Borgoña;Borgogna;Bourgogne;Burgundsko;Burgundia;Bourgogne;Borgonha;Бургундия;Burgundi;勃艮第
France_Loire;Pays-de-la-Loire;Pays de la Loire;Pays de la Loire;Kraj Loary;País del Loira;Paese della Loira;Pays de la Loire;Pays de la Loire;Loire-völgy;Pays de la Loire;País do Loire;Луара;Loire;卢瓦尔河地区
France_Poitou;Poitou;Poitou;Poitou;Poitou;Poitou;Poitou;Poitou;Poitou;Poitou;Poitou;Poitou;Пуату;Poitou;普瓦图
France_Auvergne;Auvergne;Auvergne;Auvergne;Owernia;Auvernia;Alvernia;Auvergne;Auvergne;Auvergne;Auvergne;Auvergne;Овернь;Auvergne;奥弗涅
France_Rhone;Rhone;Rhône;Rhône;Rodan;Ródano;Rodano;Rhône;Rhône;Rhône;Rhône;Ródano;Рона;Rhône;罗讷
